Año,Trimestre,Provincia,Accesos por cada 100 hogares
2020,2,Neuquén,64.0
2020,2,Río Negro,56.0
2020,2,Salta,52.0
2020,2,San Juan,35.0
2020,2,San Luis,78.0
2020,2,Santa Cruz,36.0
2020,2,Santa Fe,70.0
2020,2,Santiago Del Estero,43.0
2020,2,Tierra Del Fuego,76.0
2020,2,Tucumán,52.0
2020,1,Buenos Aires,64.0
2020,1,Capital Federal,106.0
2020,1,Catamarca,38.0
2020,1,Chaco,37.0
2020,1,Chubut,51.0
2020,1,Córdoba,71.0
2020,1,Corrientes,39.0
2020,1,Entre Ríos,56.0
2020,1,Formosa,30.0
2020,1,Jujuy,47.0
2020,1,La Pampa,76.0
2020,1,La Rioja,46.0
2020,1,Mendoza,33.0
2020,1,Misiones,39.0
2020,1,Neuquén,62.0
2020,1,Río Negro,55.0
2020,1,Salta,50.0
2020,1,San Juan,32.0
2020,1,San Luis,76.0
2020,1,Santa Cruz,36.0
2020,1,Santa Fe,70.0
2020,1,Santiago Del Estero,42.0
2020,1,Tierra Del Fuego,76.0
2020,1,Tucumán,48.0
2019,4,Buenos Aires,64.0
2019,4,Capital Federal,106.0
2019,4,Catamarca,36.0
2019,4,Chaco,37.0
2019,4,Chubut,51.0
2019,4,Córdoba,70.0
2019,4,Corrientes,39.0
2019,4,Entre Ríos,58.0
2019,4,Formosa,30.0
2019,4,Jujuy,45.0
2019,4,La Pampa,77.0
2019,4,La Rioja,47.0
2019,4,Mendoza,34.0
2019,4,Misiones,40.0
2019,4,Neuquén,59.0
2019,4,Río Negro,56.0
2019,4,Salta,50.0
2019,4,San Juan,33.0
2019,4,San Luis,75.0
2019,4,Santa Cruz,37.0
2019,4,Santa Fe,69.0
2019,4,Santiago Del Estero,43.0
2019,4,Tierra Del Fuego,80.0
2019,4,Tucumán,48.0
2019,3,Buenos Aires,69.0
2019,3,Capital Federal,113.0
2019,3,Catamarca,31.0
2019,3,Chaco,36.0
2019,3,Chubut,48.0
2019,3,Córdoba,69.0
2019,3,Corrientes,38.0
2019,3,Entre Ríos,58.0
2019,3,Formosa,30.0
2019,3,Jujuy,44.0
2019,3,La Pampa,77.0
2019,3,La Rioja,48.0
2019,3,Mendoza,41.0
2019,3,Misiones,39.0
2019,3,Neuquén,64.0
2019,3,Río Negro,63.0
2019,3,Salta,44.0
2019,3,San Juan,37.0
2019,3,San Luis,85.0
2019,3,Santa Cruz,36.0
2019,3,Santa Fe,69.0
2019,3,Santiago Del Estero,55.0
2019,3,Tierra Del Fuego,96.0
2019,3,Tucumán,39.0
2019,2,Buenos Aires,68.0
2019,2,Capital Federal,111.0
2019,2,Catamarca,32.0
2019,2,Chaco,34.0
2019,2,Chubut,47.0
2019,2,Córdoba,68.0
2019,2,Corrientes,38.0
2019,2,Entre Ríos,57.0
2019,2,Formosa,30.0
2019,2,Jujuy,45.0
2019,2,La Pampa,77.0
2019,2,La Rioja,49.0
2019,2,Mendoza,41.0
2019,2,Misiones,39.0
2019,2,Neuquén,63.0
2019,2,Río Negro,61.0
2019,2,Salta,42.0
2019,2,San Juan,36.0
2019,2,San Luis,82.0
2019,2,Santa Cruz,29.0
2019,2,Santa Fe,67.0
2019,2,Santiago Del Estero,53.0
2019,2,Tierra Del Fuego,95.0
2019,2,Tucumán,40.0
2019,1,Buenos Aires,66.0
2019,1,Capital Federal,109.0
2019,1,Catamarca,32.0
2019,1,Chaco,33.0
2019,1,Chubut,43.0
2019,1,Córdoba,66.0
2019,1,Corrientes,35.0
2019,1,Entre Ríos,57.0
2019,1,Formosa,30.0
2019,1,Jujuy,46.0
2019,1,La Pampa,76.0
